coc_code,coc_name,state_code,total_2010_population,total_pills_2010
ca-601,san diego city and county coc,ca,3097946,77617350
ca-602,"santa ana, anaheim/orange county coc",ca,3010232,70354980
ca-603,santa maria/santa barbara county coc,ca,427161,14598010
ca-604,bakersfield/kern county coc,ca,839631,28708960
ca-606,long beach coc,ca,467654,11325020
ca-607,pasadena coc,ca,133965,2968050
ca-608,riverside city & county coc,ca,2189641,63822320
ca-609,san bernardino city & county coc,ca,2035210,61208760
ca-611,"oxnard, san buenaventura/ventura county coc",ca,823318,23109780
ca-612,glendale coc,ca,190790,2552840
ca-613,imperial county coc,ca,174528,3532730
ca-614,san luis obispo county coc,ca,269637,11438240
co-500,colorado balance of state coc,co,1622705,59193226
co-503,metropolitan denver coc,co,2774553,77035034
co-504,colorado springs/el paso county coc,co,622263,19155620
ct-503,"bridgeport, stamford, norwalk/fairfield county coc",ct,835936,17533550
ct-505,connecticut balance of state coc,ct,2743517,82945814
dc-500,district of columbia coc,dc,601723,8745500
de-500,delaware statewide coc,de,897934,44971380
fl-500,"sarasota, bradenton/manatee, sarasota counties coc",fl,702281,39507980
fl-501,tampa/hillsborough county coc,fl,1229226,98699051
fl-502,"st. petersburg, clearwater, largo/pinellas county coc",fl,916542,64725900
fl-503,"lakeland, winterhaven/polk county coc",fl,602095,21424760
fl-504,"daytona beach, daytona/volusia, flagler counties coc",fl,590289,35847190
fl-505,"fort walton beach/okaloosa, walton counties coc",fl,235865,10558420
fl-506,tallahassee/leon county coc,fl,429121,11471029
fl-507,"orlando/orange, osceola, seminole counties coc",fl,1837359,81408200
fl-508,"gainesville/alachua, putnam counties coc",fl,407960,21141750
fl-509,"fort pierce/st. lucie, indian river, martin counties coc",fl,562135,24327950
fl-510,"jacksonville-duval, clay counties coc",fl,1128442,65020790
fl-511,"pensacola/escambia, santa rosa counties coc",fl,448991,26691094
fl-512,st. johns county coc,fl,190039,6591610
fl-513,"palm bay, melbourne/brevard county coc",fl,543376,30877730
fl-514,ocala/marion county coc,fl,331298,16792891
fl-515,"panama city/bay, jackson counties coc",fl,293909,15310549
fl-517,"hendry, hardee, highlands counties coc",fl,253399,9761130
fl-518,"columbia, hamilton, lafayette, suwannee counties coc",fl,132751,6385960
fl-519,pasco county coc,fl,464697,35324080
fl-520,"citrus, hernando, lake, sumter counties coc",fl,704486,39807050
fl-600,miami-dade county coc,fl,2496435,39548597
fl-601,ft lauderdale/broward county coc,fl,1748066,93728402
fl-602,punta gorda/charlotte county coc,fl,159978,10420000
fl-603,"ft myers, cape coral/lee county coc",fl,618754,31598228
fl-604,monroe county coc,fl,73070,4983950
fl-605,west palm beach/palm beach county coc,fl,1320134,63554160
fl-606,naples/collier county coc,fl,321520,11922340
ga-500,atlanta coc,ga,417912,9225380
ga-501,georgia balance of state coc,ga,6636200,274113273.4
ga-502,fulton county coc,ga,534570,8718720
ga-503,athens-clarke county coc,ga,116714,5394468
ga-504,augusta-richmond county coc,ga,200549,8156554
ga-505,columbus-muscogee/russell county coc,ga,242832,10892910
ga-506,marietta/cobb county coc,ga,688078,19967420
ga-507,savannah/chatham county coc,ga,265128,8835930
ga-508,dekalb county coc,ga,663625,10826240
hi-500,hawaii balance of state coc,hi,407004,17940580
hi-501,honolulu city and county coc,hi,953207,15456660
ia-500,"sioux city/dakota, woodbury counties coc",ia,123178,2607860
ia-501,iowa balance of state coc,ia,2415877,62697092
ia-502,des moines/polk county coc,ia,440558,20159070
id-500,boise/ada county coc,id,392365,16053610
id-501,idaho balance of state coc,id,1175217,44374052
il-500,mchenry county coc,il,302514,6868030
il-501,"rockford/winnebago, boone counties coc",il,349431,13475550
il-502,"waukegan, north chicago/lake county coc",il,728750,14289080
il-503,"champaign, urbana, rantoul/champaign county coc",il,201081,4614455
il-504,madison county coc,il,269282,11932500
il-506,"joliet, bolingbrook/will county coc",il,786434,18411270
il-507,"peoria, pekin/fulton, tazewell, peoria, woodford counties coc",il,397621,12368440
il-508,"east st. louis, belleville/st. clair county coc",il,277130,8619170
il-509,dekalb city & county coc,il,105160,1924990
il-510,chicago coc,il,2698248,33809520
il-511,cook county coc,il,2484565,53481030
il-512,bloomington/central illinois coc,il,538361,15887720
il-513,springfield/sangamon county coc,il,197465,7873400
il-514,dupage county coc,il,904681,19373130
il-515,south central illinois coc,il,415880,13755480
il-516,decatur/macon county coc,il,110768,4132710
il-517,"aurora, elgin/kane county coc",il,576257,8806280
il-518,"rock island, moline/northwestern illinois coc",il,674729,16382180
il-519,west central illinois coc,il,229312,6993310
il-520,southern illinois coc,il,587481,27473830
in-502,indiana balance of state coc,in,5584616,275826648
in-503,indianapolis coc,in,903393,49914279
ks-502,wichita/sedgwick county coc,ks,498365,24509470
ks-503,topeka/shawnee county coc,ks,177934,6604150
ks-505,"overland park, shawnee/johnson county coc",ks,544179,17555120
ks-507,kansas balance of state coc,ks,1489512,57229960
ky-500,kentucky balance of state coc,ky,3302468,238068347
ky-501,louisville-jefferson county coc,ky,741096,48366064
ky-502,lexington-fayette county coc,ky,295803,12014520
la-500,lafayette/acadiana regional coc,la,638768,31984679
la-502,"shreveport, bossier/northwest louisiana coc",la,480450,18142227
la-503,new orleans/jefferson parish coc,la,778615,32037719
la-505,monroe/northeast louisiana coc,la,355761,11242430
la-506,slidell/southeast louisiana coc,la,541234,29720690
la-507,alexandria/central louisiana coc,la,309761,14306100
la-508,"houma-terrebonne, thibodaux coc",la,352405,12549300
la-509,louisiana balance of state coc,la,1078612,44765660
ma-500,boston coc,ma,617594,12438470
ma-502,lynn coc,ma,90329,2592090
ma-503,cape cod islands coc,ma,242595,8669610
ma-504,springfield/hampden county coc,ma,463490,18432710
ma-505,new bedford coc,ma,95072,3964290
ma-506,worcester city & county coc,ma,798552,28272410
ma-507,"pittsfield/berkshire, franklin, hampshire counties coc",ma,360671,11701500
ma-508,lowell coc,ma,106519,2124440
ma-509,cambridge coc,ma,105162,1712690
ma-510,"gloucester, haverhill, salem/essex county coc",ma,576453,16921620
ma-510_&_ma-516_shared_jurisdiction,ma-510_&_ma-516_shared_jurisdiction,ma,843087,17518280
ma-511,"quincy, brockton, weymouth, plymouth city and county coc",ma,640933,21420320
ma-515,fall river coc,ma,88857,5102910
ma-516,massachusetts balance of state coc,ma,1035361,22480580
ma-517,somerville coc,ma,118598,1913950
ma-519,"attleboro, taunton/bristol county coc",ma,368168,11225740
md-500,cumberland/allegany county coc,md,75087,4586630
md-501,baltimore coc,md,620961,17039110
md-502,harford county coc,md,252338,11572330
md-503,annapolis/anne arundel county coc,md,537656,20135290
md-504,howard county coc,md,287085,6739250
md-505,baltimore county coc,md,805029,33880680
md-506,carroll county coc,md,167134,6785890
md-507,cecil county coc,md,109680,7093960
md-508,"charles, calvert, st. mary's counties coc",md,340439,13586260
md-509,frederick city & county coc,md,233385,6549940
md-510,garrett county coc,md,30097,1101080
md-511,mid-shore regional coc,md,171461,5637080
md-512,hagerstown/washington county coc,md,147430,6775250
md-513,"wicomico, somerset, worcester counties coc",md,176657,8515980
md-600,prince george's county coc,md,863420,16241552
md-601,montgomery county coc,md,976764,16497620
me-500,maine balance of state coc,me,1328361,60403660
mi-500,michigan balance of state coc,mi,2387142,104659969
mi-501,detroit coc,mi,713777,31682650
mi-502,"dearborn, dearborn heights, westland/wayne county coc",mi,1106807,66042360
mi-503,"st. clair shores, warren/macomb county coc",mi,840978,45501360
mi-504,"pontiac, royal oak/oakland county coc",mi,1204741,48406610
mi-505,flint/genesee county coc,mi,425790,22770920
mi-506,"grand rapids, wyoming/kent county coc",mi,602622,19935840
mi-507,"portage, kalamazoo city & county coc",mi,250331,10054930
mi-508,"lansing, east lansing/ingham county coc",mi,282802,12357430
mi-509,washtenaw county coc,mi,344791,9053410
mi-510,saginaw city & county coc,mi,200169,9398530
mi-511,lenawee county coc,mi,99892,4083020
mi-512,"grand traverse, antrim, leelanau counties coc",mi,166952,7066780
mi-513,"marquette, alger counties coc",mi,76678,2688860
mi-514,battle creek/calhoun county coc,mi,136146,7981640
mi-515,monroe city & county coc,mi,152021,8130020
mi-516,"norton shores, muskegon city & county coc",mi,172188,10665010
mi-517,jackson city & county coc,mi,160248,7012820
mi-518,livingston county coc,mi,180967,5487580
mi-519,holland/ottawa county coc,mi,270607,6254390
mi-523,eaton county coc,mi,107759,4328040
mn-500,minneapolis/hennepin county coc,mn,1152425,30388170
mn-501,st. paul/ramsey county coc,mn,508640,13356950
mn-502,rochester/southeast minnesota coc,mn,711164,14546450
mn-503,"dakota, anoka, washington, scott, carver counties coc",mn,1203324,27440440
mn-504,northeast minnesota coc,mn,125999,4556530
mn-505,st. cloud/central minnesota coc,mn,715241,17441410
mn-506,northwest minnesota coc,mn,169114,3703910
mn-508,moorhead/west central minnesota coc,mn,237888,5090272
mn-509,duluth/st. louis county coc,mn,200226,8142307
mn-511,southwest minnesota coc,mn,282261,5005677
mo-500,st. louis county coc,mo,1003218,32918850
mo-501,st. louis city coc,mo,324919,8933380
mo-503,"st. charles city & county, lincoln, warren counties coc",mo,445564,13849620
mo-600,"springfield/greene, christian, webster counties coc",mo,388798,20694620
mo-602,"joplin/jasper, newton counties coc",mo,175518,7881150
mo-603,"st. joseph/andrew, buchanan, dekalb counties coc",mo,119384,6728720
mo-604,"kansas city (mo&ks), independence, lee’s summit/jackson, wyandotte counties coc",mo,980416,36736990
mo-606,missouri balance of state coc,mo,2733770,126021560
ms-500,"jackson/rankin, madison counties coc",ms,560327,18176590
ms-501,mississippi balance of state coc,ms,1954146,87495856
ms-503,gulf port/gulf coast regional coc,ms,473357,26464470
